Datetime,Text
2020-12-30 23:46:07+00:00,The Big Five #FAANG Stock and Sector Service is now posted for Wednesday       #AMZN #AAPL #FB #NFLX #TSLA #GOOGL and  Sector Funds - #IBB #IYR #XLE #XLE #XLF #XLK #XRT    (link: https://t.co/bihMz399my)   #trading #investing #FinancialFreedom https://t.co/GZEK5AGNJh
2020-12-30 22:53:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/nJHtistuNa
2020-12-30 22:46:41+00:00,"Alphabet (#GOOG, $GOOG; #GOOGL, $GOOGL), Amazon (#AMZN, $AMZN), Apple (#AAPL, $AAPL) or Microsoft (#MSFT, $MSFT), which one those is your choice for 2021?
#Alphabet #Amazon #Apple #Google #Microsoft"
2020-12-30 22:23:47+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/y1I2jkR1qB
2020-12-30 18:18:25+00:00,I've chosen my top 5 stocks for 2021 at the @Stockopedia stock picking challenge including #JPM #LSE #DAL #GOOGL #BX . Add yours here for a chance to win some great prizes - https://t.co/E8AcPFBxXD #stockpicks2021
2020-12-30 16:23:47+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/8Z7QdK3mAH
2020-12-30 15:04:50+00:00,$GOOGL extended the rally last month and this is how we saw it in the 11/08 weekend update @ https://t.co/eFwYqfZOBF  #Elliottwave #GOOGL #Stocks #Trading https://t.co/wyVVsdnHdb
2020-12-30 15:00:12+00:00,$GOOGL How we saw it back on 10.31.2020 in the weekend update @ https://t.co/eFwYqfZOBF  #Elliottwave #GOOGL #Stocks #Trading https://t.co/sfD1XWKacZ
2020-12-30 14:30:45+00:00,Our high-performing Ultimate Stocks aim to get a whole lot bigger. Read our latest update here. #ads #adbe #googl #aapl #or #ma #sbux #dis https://t.co/Vyd7zTOkrO
2020-12-30 09:53:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/HYhnp1wWg2
2020-12-30 09:23:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/3eSmN7DTom
2020-12-30 06:51:28+00:00,"2021 Picks https://t.co/KgdJGJFOJM 

#GOOGL #DKNG #SNOW #NKE #CRM"
2020-12-30 02:53:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/LkWhSuaY9I
2020-12-29 20:53:47+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/vLODFIAcDx
2020-12-29 20:23:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/vI8aFAXrFn
2020-12-29 19:51:35+00:00,#Free Trial available at https://t.co/x2kmaKA6Ui #SPY #GDX #XME #XLE #IYR #AAPL #FB #AMZN #NFLX #GOOGL #MSFT #NVDA #AMD #TSLA #BABA #XOM #BAC #T #NKE #GE #SPX #NKD_F #FTSE #DAX #YM_F #USDX #EURUSD #GBPUSD #GBPJPY #USDJPY #CL_F #HG_F #XAUUSD #XAGUSD #ES_F #NQ_F #RTY_F #ASX #BTC https://t.co/UniCk5IxSK
2020-12-29 19:50:05+00:00,"Group 1, 2 &amp; 3 Daily Live #Trading Rooms and #ElliottWave Analysis Session video recordings are available for members viewing. https://t.co/x2kmaKA6Ui #SPY #AAPL #FB #AMZN #GOOGL #TSLA #YM_F #USDX #EURUSD #USDJPY #CL_F #ES_F #NQ_F #BTC https://t.co/ki3E9nc3sh"
2020-12-29 19:48:43+00:00,1 hour charts for all 78 instruments are available for members viewing https://t.co/x2kmaKA6Ui #ElliottWave #Forex #Indices #Commodities #stocks #etf's #CryptoCurrency #YM_F #RTY_F #ES_F #NQ_F #USDX #EURUSD #AMZN #GOOGL #MSFT #SPY #BTC https://t.co/iwGnf7WoG0
2020-12-29 18:39:43+00:00,Software is eating the world during a pandemic. I think it’s dangerous to predict if it’s sustainable because I’m likely to be wrong anyways #GOOG #GOOGL https://t.co/rWvsnC97io
2020-12-29 17:40:10+00:00,"As 2020 Ends, These 5 Stocks Are Highest-Conviction Holdings (#WMT, $WMT, #GOOGL, $GOOGL, #MRK, $MRK, #BIG, $BIG, #SQ, #SQ)

It's unclear if all companies will emerge from the pandemic unscathed, but there's little doubt some will be just fine.

https://t.co/XvA2dM47HJ"
2020-12-29 16:47:40+00:00,$GOOGL extended the rally last month and this is how we saw it in the 11/08 weekend update @ https://t.co/eFwYqfZOBF  #Elliottwave #GOOGL #Stocks #Trading https://t.co/f67440MqPV
2020-12-29 16:47:32+00:00,$GOOGL How we saw it back on 10.31.2020 in the weekend update @ https://t.co/eFwYqfZOBF  #Elliottwave #GOOGL #Stocks #Trading https://t.co/mecjrjWa19
2020-12-29 14:23:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/pPWJOwr0j9
2020-12-29 13:53:45+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/KZMZBpL5S3
2020-12-29 09:29:27+00:00,I've chosen my top 5 stocks for 2021 at the @Stockopedia stock picking challenge including #BABA #BEPC #QCOM #NEE #GOOGL . Add yours here for a chance to win some great prizes - https://t.co/a3JEn2LJPw #stockpicks2021
2020-12-29 07:23:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/3o1ldDTN1g
2020-12-29 01:23:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/pPWJOwr0j9
2020-12-29 00:53:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/rNQhsrpsL4
2020-12-28 18:53:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/48D1l4OvaQ
2020-12-28 18:23:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/nuXd0mHAdM
2020-12-28 15:58:24+00:00,$GOOGL #GOOGL nice move continuation https://t.co/BUT6p6qEQ2
2020-12-28 15:15:43+00:00,$GOOGL extended the rally last month and this is how we saw it in the 11/08 weekend update @ https://t.co/eFwYqfZOBF  #Elliottwave #GOOGL #Stocks #Trading https://t.co/hq7fspmDM9
2020-12-28 15:15:35+00:00,$GOOGL How we saw it back on 10.31.2020 in the weekend update @ https://t.co/eFwYqfZOBF  #Elliottwave #GOOGL #Stocks #Trading https://t.co/QEfBL6Q7Ao
2020-12-28 15:15:33+00:00,$GOOGL #GOOGL dip being bought after daily consolidation
2020-12-28 12:23:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/qnIryTkURl
2020-12-28 11:53:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/TN0RUCiUN4
2020-12-28 09:21:19+00:00,"U #Unity
N #NVDA
A #AMZN 
G #GOOGL
I #IIPR
T #TSLA
A #AI C3AI
B #BIDU
E #ETSY
T #TWLO
A #ARKK
I Invitae Corporation (#NVTA) https://t.co/IOm70QUFDP"
2020-12-28 05:53:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/fNoCJ3M9Kk
2020-12-28 05:23:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/TICIk1NSSZ
2020-12-28 04:57:38+00:00,"#CloudComputing has made #NVIDIA GPUs a staple in the world's biggest cloud operations and data centers. 

NVIDIA's customer list includes Amazon Web Services #AWS, Microsoft #Azure,  Alphabet's #GoogleCloud, and #AlibabaCloud

#Tech #Stocks $AMZN $MSFT #GOOGL $BABA $NVDA"
2020-12-27 22:53:58+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/uoHQ0N66E7
2020-12-27 17:07:01+00:00,The Big Five #FAANG Stock and Sector Service is now posted for Sunday       #AMZN #AAPL #FB #NFLX #TSLA #GOOGL and  Sector Funds - #IBB #IYR #XLE #XLE #XLF #XLK #XRT    (link: https://t.co/bihMz399my)   #trading #investing #FinancialFreedom https://t.co/JF7Je18Lsw
2020-12-27 09:53:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/3NZ3v2kJaI
2020-12-27 03:23:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/20bKfZprtg
2020-12-26 21:23:46+00:00,Google is the internet !! #google #googl #goog #stock #market #tech #technology #epic #internet #monster https://t.co/sTN8nv8f3Y
2020-12-26 14:23:46+00:00,Google...What Can I Say !! #google #googl #stock #tech #internet #goog #technology #epic #monster https://t.co/D2BzhOa7At
