Datetime,Text
2021-04-30 21:30:17+00:00,Microsoft buys Flatcar Container Linux creator Kinvolk https://t.co/90qTOApcoA #MSFT #Microsoft #Tech #IT #Kinvolk
2021-04-30 21:04:08+00:00,"Microsoft: It's 90 days until the end of Skype for Business Online, here's what to expect https://t.co/EbS5KWYWPB #MSFT #Microsoft #Skype #Teams #MicrosoftTeams"
2021-04-30 21:00:04+00:00,Want to learn all of the different ways you can create a team in #MicrosoftTeams ? Check out this tutorial. https://t.co/kQyXS570r6 #Microsoft #Microsoft365 #Office365 #MSFT #MSTeams #Remotework #MicrosoftEDU #YouTube #Howto #Tutorials #SharePoint #Azure #AzureActiveDirectory
2021-04-30 18:50:14+00:00,"US Tech Earnings Season Recap: What’s up with #AAPL, #MSFT, #AMZN, and #GOOG?

Get our take on why these stocks are haven't seen as much of a bullish reaction as their earnings might suggest 👇

https://t.co/rRoPJfmxuO https://t.co/ZQO6tgx4bx"
2021-04-30 17:07:12+00:00,How to insert a footnote or endnote in Microsoft Word to add supplemental information to a document https://t.co/8f0W0iFL4z #MSFT #Microsoft #Word #Office365
2021-04-30 16:12:59+00:00,"💻 @Microsoft stock forecast:

📉 A low-end estimate of $242.56 suggests $MSFT will only decline by 4.6% in the next 12 months
📈 The median view is a 14% rise
🚀 The most bullish projection anticipates a 33.7% leap to $340

Read the full #MSFT analysis👉 https://t.co/IygR3XJ2QN https://t.co/HouULyLWfJ"
2021-04-30 15:21:16+00:00,"Cloud computing spending accelerates again as Microsoft, Google chase AWS https://t.co/Kd27h8GkzW #MSFT #Microsoft #AWS #Cloud #Google"
2021-04-30 15:18:05+00:00,"#MSFT #Google and #Apple just blew out earnings; the most powerful entities of all times.  Today they must be patting themselves on the back since NOTHING is working....outlook....calls on a new iPhone.  I don’t want 5G, I just want something that works."
2021-04-30 15:05:24+00:00,"Market is open, code in prod is just fine, portfolio is up.
Btw, selling #MSFT at $254.66 two days ago and then buying it back today at $250.09 his a huge little confidence win in my code for me.
Hopefully I can be #fire someday"
2021-04-30 15:00:07+00:00,Want to learn how to use #MicrosoftWhiteboard in #MicrosoftTeams ? Check out this tutorial!   https://t.co/CGq0MLKr1Y #Microsoft #Microsoft365 #Office365 #MSFT #MSTeams #Remotework #MicrosoftEDU #YouTube #Howto #Tutorials #whiteboard #MicrosoftWhiteboard
2021-04-30 14:56:30+00:00,@HoaryMarmots #MSFT appropriately named today.....
2021-04-30 14:52:47+00:00,TWTR CALL $57 5/14 #TWTR #SNAP #FB #MSFT #BABA #NIO #TSLA #NKLA #robinhood #Webull #stocks #stonks #tiktok #Buy #Options #elon
2021-04-30 14:38:39+00:00,"Microsoft Teams Reaches 145 Million Users    
[ URL: https://t.co/eP2Ep2EjyY ]  #collaboration #DailyUsers #Microsoft #MicrosoftTeams #MSFT #UCaaS #VCaaS https://t.co/VpSZq6dzHJ"
2021-04-30 14:03:40+00:00,Bought some #MSFT $255 C 5/7/21 1.35 avg
2021-04-30 14:00:16+00:00,"S&amp;P 500 Elliott Wave Analysis 📈

Charts are released earlier in our Discord group #joinus
Please like and share if you appreciate this #Elliottwave update

#NDX #SPX #MSFT #APPL #AMZN #GOOG #GOOGL #FB #AMD #NVDA #SMH #XLK #JPM #M #PG #UNH #INTC #VZ #MA #PFE #MRK #BAC #DIS #NFLX https://t.co/CoM8BuWO9d"
2021-04-30 13:53:49+00:00,Microsoft just rolled out PowerToys v0.37 to Windows 10 https://t.co/6RG2YS1akp #MSFT #Microsoft #Windows10 #PowerToyz
2021-04-30 13:30:23+00:00,"Nasdaq 100 Index Update 📈

Charts are released earlier in our Discord group #joinus
Please like and share if you appreciate this #Elliottwave update

#NDX #SPX #MSFT #APPL #AMZN #GOOG #GOOGL #FB #INTC #NVDA #CSCO #ADBE #NFLX #PEP #CMCSA #PYPL #TSLA #COST #AMGN #TMUS #AVGO #TXN https://t.co/Z7qwDiIM3p"
2021-04-30 13:16:09+00:00,RT soi2dev: Interested in utilizing #devops or #github for #ALM and deployments be sure to checkout the deck from #m365vm #msft #microsoft…real_BibiEzeh
2021-04-30 13:00:04+00:00,"#DXY Elliott Wave Analysis 📈

Charts are released earlier in our Discord group #joinus
Please like and share if you appreciate this #Elliottwave update

#crypto #BTC #ETH #BTCUSD #Bitcoin #Ethereum #oil #gold #NDX #SPX #MSFT #APPL #AMZN #GOOG https://t.co/58YHCpfAMF"
2021-04-30 11:47:59+00:00,"I’m part of the  Microsoft Azure Developer League

#MicrosoftAzure #AzureDevOps #Azure #MSFT #MSFTAdvocate https://t.co/wI76IR6ZJU"
2021-04-30 10:16:05+00:00,RT soi2dev: Interested in utilizing #devops or #github for #ALM and deployments be sure to checkout the deck from #m365vm #msft #microsoft…PythonRoboto
2021-04-30 09:01:01+00:00,"Microsoft acquires Kinvolk, the Berlin-based cloud startup behind Flatcar Container Linux https://t.co/Ih4lFIkMGj via @Taylor_Soper #msft"
2021-04-30 07:20:14+00:00,Not sure what your collection query will return? Use the preview feature in the designer! Thank you for this feature! #MSFT #memcm #sccm https://t.co/Oodoen5xW4
2021-04-30 04:07:42+00:00,$MSFT seeing an uptick in chatter on 4chan over the last 24 hours
2021-04-30 02:43:08+00:00,"Microsoft acquires Kinvolk, the Berlin-based cloud startup behind Flatcar Container Linux 

more open source ace by #MSFT
https://t.co/sXTnXNRX4l via @GeekWire"
2021-04-30 02:39:55+00:00,#AMZN and #MSFT Maintain their Grip on the Market but Others are also Growing Rapidly https://t.co/1mqgGmE6Kx via @Yahoo
2021-04-30 00:34:34+00:00,"Finally the pain will be over soon. Looking forward to it #msft 
https://t.co/KSk1OZUero"
2021-04-29 23:55:18+00:00,✨ Participate in our May #Webull wheel event to win awesome prizes! 😍 4000 shares of MSFT stocks are waiting to be claimed. 💙#webull #dogecoin #StocksToWatch #msft #free #FreeSpins #shares https://t.co/6796qDcFj6
2021-04-29 21:42:38+00:00,"$SPY Pivots -Support &amp; Resistance for F 4/30
$FB, $AMZN , $AAPL
$GOOG, $TSLA, $NFLX
$NVDA, $ABNB, $AMD
$MSFT, $SHOP, $SNOW, 
$PLNT

Long above&gt; Pivot &lt;Short below

#stocks #markets #daytrading $spx $spy #FB #AMZN #AAPL #GOOG #TSLA #NFLX #NVDA #ABNB #AMD #MSFT #SHOP #SNOW #PLNT https://t.co/iZy7jymxtu"
2021-04-29 20:52:30+00:00,✨ May #Webull wheel event to win awesome prizes! 😍 4000 shares of #MSFT #stocks are waiting to be claimed. 💙 https://t.co/Gp8KfJ60SC
2021-04-29 20:44:48+00:00,"$MSFT one of the most mentioned on 4chan over the last 7 days

Via https://t.co/2V8CqVLYHM

#msft    #4chan    #biz"
2021-04-29 20:36:00+00:00,"Want to invest top 10 US Stocks ? Here is how..!!

(FANG+: Facebook, Amazon,Netflix,Google,Alibaba ,Tesla)

Check this out
https://t.co/RM04sRY2Ff

#Amazon
#google
#facebook
#tesla
#apple
#netflix
#Microsoft 
#MSFT
#AMZN
#APPL
#TSLA
#FB
#GOOGL
#NFLX
#USstockmarket
#SP500"
2021-04-29 20:27:06+00:00,$MSFT seeing an uptick in chatter on 4chan over the last 24 hours
