Datetime,Text
2021-06-30 23:25:40+00:00,"$SPY #SPY $SPX #SPX continues to trade up, but careful if any volatility starts to creep in after july 4th

$TSLA #TSLA $NFLX #NFLX $GME #GME $SQ #SQ $SPY #SPY $MSFT #MSFT $ZM #ZM $SPX #SPX $GLD #GLD $BTC.X #BTC https://t.co/nZkhXQRBFq"
2021-06-30 21:50:00+00:00,#MSFT - $MSFT Target apuntado. - TradingView - https://t.co/S1xQOIxXir
2021-06-30 21:49:58+00:00,$MSFT Target apuntado. - #MSFT TradingView https://t.co/R65dsK735P
2021-06-30 21:03:59+00:00,#PowerApps #developers be like #poweraddicts #powerplatform #msft https://t.co/g7Up8sX23p
2021-06-30 20:48:34+00:00,"Does anyone have the updated #AZURE #azuredevops SVG/Icons? The download site has an error? #poweraddicts #msft  

https://t.co/7k5iSouQ6N https://t.co/o1cA4inIWs"
2021-06-30 20:43:52+00:00,Microsoft acquires AT&amp;T networking tech to bolster its Azure for Operators strategy https://t.co/B2gOk0byIT #MSFT #Microsoft #Azure #IT #AT&amp;T
2021-06-30 16:46:43+00:00,"I love hearing from SailPoint customers!  Here, @John_Masserini of Millicom (Tigo) talk about the importance of identity security!
#Azure #AzureAD #ciso #CyberSecurity #Microsoft #MSFT #msftAdvocate #MicrosoftSecurity #MSFTSecurity #MicrosoftCloud #Micros…https://t.co/Z0xt9tOxOj"
2021-06-30 15:23:21+00:00,"#Microsoft Algo Trade Update 💰

We are arriving at destination with a +14% gain. 
Well done everyone 🤖
It's up to you now if you want to let a proportion of the position run or not 💸

#NDX #SPX #MSFT #APPL #AMZN #GOOG #GOOGL #FB #AMD #NVDA #SMH #XLK #JPM #M #PG #UNH #INTC #VZ https://t.co/FFsevtU09S"
2021-06-30 15:14:17+00:00,Microsoft Teams Displays Update | June 2021 https://t.co/BmCxS6bQis #MSFT #Microsoft #Teams #MicrosoftTeams
2021-06-30 12:01:53+00:00,"#FAANGM USD CLOSE 06.29.21 #FAANG

#FB $351.89 (-3.75) #Facebook
#AAPL $136.33 (+1.55) #Apple
#AMZN $3,448.14 (+4.25) #Amazon
#NFLX $533.50 (+0.47) #Netflix
#GOOGL $2,445.45 (-5.27) #Google
#MSFT $271.40 (+2.68) #Microsoft https://t.co/GwpOu6feFn"
2021-06-30 11:53:08+00:00,"U.S. Economic Events Today

S&amp;P 500 $SPX $SPY $ES $ES_F #SPX #SPY #ES #ES_F
Nasdaq 100 $NQ $NQ_F $NDX $QQQ #NQ #NQ_F #NDX #QQQ
Dow Jones $DJI $DIA $YM_F #YM_F #DJI #DIA
Russell 2000 $RUT $RTY_F $IWM #RTY_F #RUT #IWM

#FAANG #AAPL #MSFT #AMZN #FB #GOOG #TSLA #NVDA #NFLX #BABA https://t.co/nlBPrLJ5r1"
2021-06-30 10:18:27+00:00,"What’s New in Microsoft Teams | June 2021

#MicrosoftTeams #Office365 #Microsoft #Teams #Community #MSFT
 https://t.co/I687C3hwku"
2021-06-30 07:29:31+00:00,"Don’t know what stock to pick ?
Simple solution : buy #ETF . #VGT You literally own part of all these companies .  

Top Holdings 
- Apple #APPL
- Microsoft #MSFT
- Nvidia #NVDA 
-Visa #V 
- Mastercard #MA 
- PayPal holdings #PYPL 
-Adobe #ADBE
-Intel #INTC"
2021-06-30 03:13:47+00:00,Want to learn how to use #MicrosoftWhiteboard in #MicrosoftTeams ? Check out this tutorial!   https://t.co/CGq0MLKr1Y #Microsoft #Microsoft365 #Office365 #MSFT #MSTeams #Remotework #MicrosoftEDU #YouTube #Howto #Tutorials #whiteboard #MicrosoftWhiteboard
2021-06-30 03:12:19+00:00,"#MSFT: Near second target, High $271.65 so far. #Microsoft Join https://t.co/pV9lowCgeV for more #StockMarket updates. https://t.co/CKa2hJIcwp"
2021-06-30 00:35:21+00:00,$MSFT - #MSFT chart https://t.co/3wC4UKxs4L
2021-06-29 21:56:00+00:00,"I won't be orphaned by Windows 11, but I'm sick of #MSFT's continual pushes to adopt Edge and Bing. I may switch to #Apple. Gotta discuss with other #Windows10 users. https://t.co/pwv36OBuj8"
2021-06-29 21:05:35+00:00,Want to learn how to email a channel in #MicrosoftTeams ? Check out this tutorial!   https://t.co/B9hZRnxhqg #Microsoft #Microsoft365 #Office365 #MSFT #MSTeams #Remotework #MicrosoftEDU #YouTube #Howto #Tutorials #SharePoint #SharePointOnline #email
2021-06-29 20:45:14+00:00,"FYI Reminder For $VERB 🚀📈🐃

#verb #msft #ShortSqueeze #stocks https://t.co/8Olidod4SR"
2021-06-29 20:38:04+00:00,"New tasks experience in Microsoft Teams, Outlook extension in Edge, and more - what’s new in Microsoft 365 in June https://t.co/Ks7M1q15y7 #MSFT #Microsoft #Teams #MicrosoftTeams #Outlook #M365"
2021-06-29 19:56:12+00:00,@danablankenhorn Great follow-up article. What do you think the timing would be? Q3 2021 announcement? https://t.co/zrcywP8q3V #msft #cern #aapl #goog #amzn
2021-06-29 19:30:19+00:00,"Microsoft Teams displays get Live captions support for 1:1 calls, new wallpapers, and more! https://t.co/JlPEIcHEmU #MSFT #Microsoft #Teams #MicrosoftTeams"
2021-06-29 18:50:30+00:00,1 hour charts for all 78 instruments are available for members viewing https://t.co/3xYd9znqRQ  #ElliottWave #Forex #Indices #Commodities #stocks #etf's #CryptoCurrency #YM_F #RTY_F #ES_F #NQ_F #USDX #EURUSD #AMZN #GOOGL #MSFT #SPY #BTC https://t.co/us7xL0D8Ub
2021-06-29 17:39:52+00:00,"My formal “reintroduction” to Twitter is a report from Gartner sharing breakdown of market share for the top IaaS players. 

Common theme? Robust balance sheets, high FCF yield, diversified product suite, strong branding. 

#MSFT #AMZN #GOOG #BABA https://t.co/50oZGv9Xoe"
2021-06-29 17:24:20+00:00,"🎣🎣
MSFT Put
Lotto🎱
$MSFT
#MSFT
🐟🐠 https://t.co/T6QYof5mzQ"
2021-06-29 16:08:04+00:00,"@HeroDividend #MSFT For sure, lot of growth potential."
2021-06-29 16:06:40+00:00,"Microsoft’s CEO Says Hybrid Work Will Be the ‘Biggest Shift’ in a Generation
#MSFT  https://t.co/y07GwaLbU2"
2021-06-29 16:02:26+00:00,Microsoft Office is getting a major redesign https://t.co/7cGx5op2VY #MSFT #Microsoft #Office #MicrosoftOffice #Office365
2021-06-29 15:30:09+00:00,The sc200 labs! #msft #sc200 #learn #labs https://t.co/awRwVYqdQF
2021-06-29 15:16:30+00:00,The power of GPT-3 is slowing unleashing #MSFT https://t.co/36JuZwW60d
2021-06-29 15:03:15+00:00,"#FB hits the $1T milestone after #APPL, #MSFT, #AMZN &amp; #GOOGL. FB's shares closed up at 4.2% at $355.6 after favourable ruling that dismissed an #antitrust complaint brought by the #USFederalTradeCommission. Visit RADiENT to track which #funds have higher allocation to FB!"
2021-06-29 15:01:56+00:00,Microsoft launches Azure Arc-enabled SQL in general availability  https://t.co/ycfmxi9net #MSFT #Microsoft #Azure #SQL
2021-06-29 14:24:21+00:00,"📢 One of the Technology Giants Microsoft Added Another Record To The Rise In Its Shares!

🔎 For our detailed #MSFT stock analysis:

➡️ https://t.co/snhUb9Gx9E

#microsoft #Nasdaq #dowkones https://t.co/1tiR53UMlr"
2021-06-29 13:55:01+00:00,Microsoft and OpenAI have a new A.I. tool that will give coding suggestions to software developers https://t.co/LasOuTHGlS #MSFT #Microsoft #AI #Coding
2021-06-29 10:21:17+00:00,"📈 $MSFT #MSFT
+1,150% Search Increase on Google (Past Day)"
2021-06-29 09:55:15+00:00,Change Your Chart's Timeframe in Lightning Speed - #MSFT TradingView https://t.co/RVzfMj9PcM
2021-06-29 09:00:03+00:00,Want to learn how to use the history menu in #MicrosoftTeams Check out this #tutorial on #youtube  https://t.co/yJCrTCvTl6 #Microsoft #MSFT #MicrosoftEDU #Remotework #MSTeams #Microsoft365 #Office365 #Teams #PowerAddicts
2021-06-29 05:13:46+00:00,"U.S. #stockmarket  has had five stocks with a 13-digit valuation.

Apple (#AAPL) at $2.249 trillion, Microsoft (#MSFT) at $2.024 trillion. Amazon (#AMZN) at $1.74 trillion, Google-parent Alphabet (#GOOGL) is at $1.67 billion and Facebook (#FB) now joins t…https://t.co/SFUGIKmDC4"
2021-06-29 04:58:51+00:00,CC: @LeeStreater I had no idea #MSFT was working on #11. Glad you RTed it. Do you happen to know if other OS companies face similar problems? https://t.co/EO6Lk2Q4TP
2021-06-29 04:38:13+00:00,"Follow us for more of such amazing updates

#PRIDE #PrideMonth2021 #AAPL #IBM #ADBE #MSFT  #PFE #globalise #investing https://t.co/8t6CjwesbW"
2021-06-29 03:21:27+00:00,@elonmusk Looking for Analysts/Mods For Discord Server.  - 1yr+ Experience Required - Great Attitude - TeamPlayer - Willing to take Criticism - Help grow the Server - Have fun. #Stocks #Stonks #Discord #AMC #amcstock #NIO #WKHS #AAPL #MSFT #Crypto #TSLA #Analyst #ETH #BTC #Baba #WKHS #AMC
2021-06-29 03:21:04+00:00,Looking for Analysts/Mods For Discord Server.  - 1yr+ Experience Required - Great Attitude - TeamPlayer - Willing to take Criticism - Help grow the Server - Have fun. #Stocks #Stonks #Discord #AMC #amcstock #NIO #WKHS #AAPL #MSFT #Crypto #TSLA #Analyst #ETH #BTC #Baba #WKHS #AMC
2021-06-29 03:07:01+00:00,"Today, we take a look at @Microsoft's success and see what we can learn from the company's performance. https://t.co/Bt1PYVwWHV  #microsoft #techstocks #investing #tech #msft"
2021-06-29 02:04:05+00:00,if you're based out of Hong Kong and are an MCT and you want to join our team see Edmondos post below for details.#msft https://t.co/uuSFzi9q3a
2021-06-29 00:58:25+00:00,"Peace and blessings!

#Facebook becomes the 5th company to join the trillion dollar club 

$AAPL $2.249T
$MSFT $2.024T
$AMZN $1.737T
$GOOGL $1.671T
$FB $1.008T

Now #FANG &amp; #MSFT are truly in its own class 
#stocks #investing #StockMarket"
2021-06-28 23:40:57+00:00,$MSFT #MSFT following $QQQ steamrolling to new highs. https://t.co/gbgFi1cdrq
