Datetime,Text
2021-09-19 21:16:55+00:00,"6) Microsoft #MSFT will be increasing its prices 25% in March 2022.

https://t.co/xLBOfCrDPr."
2021-09-19 21:00:02+00:00,Want to learn how to create a task in #Planner from an #email? Check out this #tutorial on #youtube  https://t.co/2wowszHrd2 #Microsoft #MSFT #MicrosoftEDU #Remotework #MSTeams #Microsoft365 #Office365 #tasksbyplanner #microsofttodo
2021-09-19 16:02:15+00:00,"Remember $xrp was created by X $btc developers back in the early days.

Our long-term followers know we point them in the right direction.

#AMD
#Tesla
#GME way before #WSB
#NET
#MSFT
$DOGE

Just to name a few!!

$XRP Is the biggest of them all!! #Warning
NFA.
#cryptocurrency"
2021-09-19 09:20:32+00:00,$MSFT TABLE for CLOSE PRICE Prediction for the next 7 Days starting 2021-09-17 #msft https://t.co/zTp7dQiFhC
2021-09-19 09:20:30+00:00,$MSFT SIGNAL for CLOSE PRICE Prediction for the next 7 Days starting 2021-09-17 #msft https://t.co/aEi67vDaDl
2021-09-19 09:20:26+00:00,"$MSFT 2021-09-17 , CLOSE PRICE = 299.869995 #msft"
2021-09-19 07:24:57+00:00,"Being dorky explains some of ⁦@LinkedIn⁩ success #MSFT
 https://t.co/LvT3O22TQk"
2021-09-19 02:02:40+00:00,"#MSFT looking for 290 if this breaks to downside 
https://t.co/wg15u2Q1Am"
2021-09-19 01:02:21+00:00,"Covered Calls Cash Flow Strategy: 
 Ticker: $MSFT 
 Date: 2021-09-24 
 Strike: 300.0 
 Premium Generated: 1.15% 
 #options #coveredcalls #stocks #MSFT"
2021-09-18 21:00:01+00:00,Want to learn how to share files outside of a team in #MicrosoftTeams Check out this #tutorial https://t.co/MOKSnvNbH5 #Microsoft #MSFT #MicrosoftEDU #Remotework #MSTeams #Microsoft365 #Office365 #SharePoint #SharePointOnline
2021-09-18 18:30:00+00:00,"$MSFT That 20/50 MA cloud is catching as #MSFT trades horizontal.
https://t.co/4qF1b08XO0"
2021-09-18 18:23:20+00:00,"MSFT: 1 day 
#msft $msft #growth #longterm #dividendbuyback #perspective #dividends #technology 🕊 https://t.co/QGnctfYK0K"
2021-09-18 17:02:19+00:00,"Market traders use the weekend and dive into some actual professional market education, #TRICKTRADES #Youtube channel,  #SPY #QQQ #AAPL #BABA #NVDA #FB #TSLA #AMD #TWTR #MU #AMZN #NFLX #MSFT #GOOGL #Stock #Market https://t.co/vgGHRshwmT https://t.co/qRN2KFb22J"
2021-09-18 16:13:50+00:00,"In the same week evergrande China group get in trouble of their 300B debt, Microsoft announced 60B of their share buyback and raise in dividends, the money of the old world will move to the new world companies.
#EvergrandeGroup #Msft $Msft #invest"
2021-09-18 04:55:47+00:00,$MSFT #MSFT Well it didn't....Still bear then
2021-09-18 03:04:14+00:00,"For the record, I'm changing my guess. 

#MSFT is going to acquire #CDProjektRed. 

That's my guess &amp; I'm sticking to it."
2021-09-18 03:00:02+00:00,Want to learn how to restore a deleted file in #MicrosoftTeams ? Check out this tutorial!   https://t.co/kxpEqV8xwm #Microsoft #Microsoft365 #Office365 #MSFT #MSTeams #Remotework #MicrosoftEDU #YouTube #Howto #Tutorials #SharePoint #SharePointOnline
2021-09-17 22:21:07+00:00,"Partners AT&amp;T, Equinix, Microsoft, and more are part of the new Connected Climate Initiative, which aims to help customers collectively reduce 1 billion metric tons of greenhouse gas emissions by 2035. https://t.co/hsEK1gk8tN #MSFT…https://t.co/FtzjDaUeOp https://t.co/3dPyv08yQY"
